region,category_le,mode_le,powertrain_oe,param_EV sales,param_EV sales share,param_EV stock,param_EV stock share,unit_Vehicles,unit_percent,value_scaled,year_scaled
Australia,0,1,3.0,0,1,0,0,0,1,-0.09247324913173481,0.9012847890230962
Australia,0,1,0.0,1,0,0,0,1,0,-0.06443083404437401,0.9012847890230962
Australia,0,1,0.0,0,0,1,0,1,0,-0.0363837994455109,0.9012847890230962
Australia,0,1,0.0,1,0,0,0,1,0,-0.092405276318393,0.9012847890230962
Australia,0,1,0.0,1,0,0,0,1,0,-0.09245312125976754,1.1707674229540277
Australia,0,1,0.0,0,0,1,0,1,0,0.018060444187576317,1.1707674229540277
Australia,0,1,0.0,1,0,0,0,1,0,-0.09176844365044234,1.1707674229540277
Australia,0,1,3.0,0,1,0,0,0,1,-0.0924694545330148,1.1707674229540277
Australia,0,1,2.0,0,0,1,0,1,0,-0.09231288608677322,1.1707674229540277
Australia,0,1,1.0,0,0,1,0,1,0,-0.057831531785817986,1.1707674229540277
Australia,0,1,1.0,1,0,0,0,1,0,-0.09176844365044234,1.1707674229540277
Australia,0,1,3.0,0,0,0,1,0,1,-0.09247689524619726,1.1707674229540277
Australia,0,1,3.0,0,0,0,1,0,1,-0.09247588885248088,1.4402500568849592
Australia,0,1,1.0,1,0,0,0,1,0,-0.07432978743220806,1.4402500568849592
Australia,0,1,1.0,0,0,1,0,1,0,-0.041333276139427916,1.4402500568849592
Australia,0,1,2.0,0,0,1,0,1,0,-0.0911992538306419,0.09283688723030159
Australia,0,1,3.0,0,1,0,0,0,1,-0.09245807073646145,1.4402500568849592
Australia,0,1,0.0,1,0,0,0,1,0,-0.09176844365044234,1.4402500568849592
Australia,0,1,0.0,0,0,1,0,1,0,0.15499596605261387,1.4402500568849592
Australia,0,1,2.0,1,0,0,0,1,0,-0.09246796968984929,1.4402500568849592
Austria,0,1,0.0,0,0,1,0,1,0,-0.09190042969561348,-2.063024184217151
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247758817288819,-2.063024184217151
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247783234707489,-1.793541550286219
Austria,0,1,0.0,0,0,1,0,1,0,-0.09084454133424451,-1.793541550286219
Austria,0,1,0.0,0,0,1,0,1,0,-0.09016811285274251,-1.5240589163552876
Austria,0,1,1.0,0,0,1,0,1,0,-0.09224689306418767,-1.5240589163552876
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247781419899379,-1.5240589163552876
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247778120248323,-1.254576282424356
Austria,0,1,3.0,0,1,0,0,0,1,-0.09247645804234789,-1.254576282424356
Austria,0,1,1.0,0,0,1,0,1,0,-0.09180144016173514,-1.254576282424356
Austria,0,1,0.0,0,0,1,0,1,0,-0.0890132349574952,-1.254576282424356
Austria,0,1,0.0,1,0,0,0,1,0,-0.09140548202622177,-1.254576282424356
Austria,0,1,0.0,1,0,0,0,1,0,-0.0896731651833508,-0.9850936484934245
Austria,0,1,0.0,0,0,1,0,1,0,-0.0868684617234645,-0.9850936484934245
Austria,0,1,2.0,1,0,0,0,1,0,-0.09246796968984929,-0.9850936484934245
Austria,0,1,2.0,0,0,1,0,1,0,-0.09247291916654321,-0.9850936484934245
Austria,0,1,1.0,0,0,1,0,1,0,-0.0911992538306419,-0.9850936484934245
Austria,0,1,3.0,0,1,0,0,0,1,-0.09247645804234789,-0.9850936484934245
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247758817288819,-0.9850936484934245
Austria,0,1,3.0,0,0,0,1,0,1,-0.0924776376676571,-0.715611014562493
Austria,0,1,3.0,0,1,0,0,0,1,-0.09247638380026828,-0.715611014562493
Austria,0,1,0.0,0,0,1,0,1,0,-0.09000313029627861,-0.715611014562493
Austria,0,1,2.0,0,0,1,0,1,0,-0.09246796968984929,-0.715611014562493
Austria,0,1,2.0,1,0,0,0,1,0,-0.09247126934097857,-0.715611014562493
Austria,0,1,1.0,1,0,0,0,1,0,-0.09066306052213421,-0.715611014562493
Austria,0,1,0.0,0,0,1,0,1,0,-0.08422874082004209,-0.715611014562493
Austria,0,1,0.0,1,0,0,0,1,0,-0.0896731651833508,-0.715611014562493
Austria,0,1,0.0,1,0,0,0,1,0,-0.09176844365044234,-0.44612838063156146
Austria,0,1,0.0,0,0,1,0,1,0,-0.07746445600502216,-0.44612838063156146
Austria,0,1,1.0,1,0,0,0,1,0,-0.09049807796567032,-0.44612838063156146
Austria,0,1,2.0,0,0,1,0,1,0,-0.09245642091089681,-0.44612838063156146
Austria,0,1,1.0,0,0,1,0,1,0,-0.08868326984456741,-0.44612838063156146
Austria,0,1,0.0,0,1,0,0,0,1,-0.09247539390489017,-0.44612838063156146
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247747268511046,-0.44612838063156146
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247724170953042,-0.17664574670062994
Austria,0,1,0.0,0,1,0,0,0,1,-0.09247456899210785,-0.17664574670062994
Austria,0,1,1.0,0,0,1,0,1,0,-0.08604354894114499,-0.17664574670062994
Austria,0,1,2.0,0,0,1,0,1,0,-0.09244652195750898,-0.17664574670062994
Austria,0,1,2.0,1,0,0,0,1,0,-0.09247456899210785,-0.17664574670062994
Austria,0,1,1.0,1,0,0,0,1,0,-0.0896731651833508,-0.17664574670062994
Austria,0,1,0.0,0,0,1,0,1,0,-0.06773048517365203,-0.17664574670062994
Austria,0,1,0.0,1,0,0,0,1,0,-0.09176844365044234,-0.17664574670062994
Austria,0,1,0.0,1,0,0,0,1,0,-0.08125905480369187,0.09283688723030159
Austria,0,1,0.0,0,0,1,0,1,0,-0.057831531785817986,0.09283688723030159
Austria,0,1,1.0,1,0,0,0,1,0,-0.08868326984456741,0.09283688723030159
Austria,0,1,2.0,1,0,0,0,1,0,-0.09246631986428465,0.09283688723030159
Austria,0,1,2.0,0,0,1,0,1,0,-0.0911992538306419,0.09283688723030159
Austria,0,1,1.0,0,0,1,0,1,0,-0.08307386292479478,0.09283688723030159
Austria,0,1,3.0,0,1,0,0,0,1,-0.0924735790969264,0.09283688723030159
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247699423573506,0.09283688723030159
Austria,0,1,3.0,0,0,0,1,0,1,-0.09247758817288819,0.3623195211612331
Austria,0,1,3.0,0,1,0,0,0,1,-0.09247209425376089,0.3623195211612331
Austria,0,1,1.0,0,0,1,0,1,0,-0.07927926412612507,0.3623195211612331
